subject_code,module_number,module_title,topics
BAS3101,1,Matrices,"Types of matrices; Elementary row and column transformations; Rank of matrix; Linear dependence; System of linear equations; Characteristic equation; Cayley Hamilton theorem; Eigen values and eigen vectors; Applications of matrices to engineering problems"
BAS3101,2,Differential Calculus,"Leibnitz theorem; Partial differentiation; Euler theorem; Expansion of functions of several variables; Jacobians; Extreme values of several variables; Lagrange method of multipliers"
BAS3101,3,Multiple Integrals,"Double integrals; Triple integrals; Change of order of integration; Change of variables; Beta and Gamma functions; Applications to area and volume; Dirichlet integral"
BAS3101,4,Vector Calculus,"Point function; Gradient; Divergence; Curl of vector; Physical interpretation of gradient divergence curl; Line integrals; Surface integrals; Volume integrals; Green's theorem; Stokes theorem; Gauss divergence theorem; Applications of vector calculus theorems"
BAS3102,1,Wave Optics,"Interference of light; Biprism experiment; Displacement of fringes; Interference in thin film; Wedge shaped film; Newton's rings; Single slit diffraction; N slit diffraction grating; Diffraction grating spectra; Dispersive power of grating; Rayleigh criterion; Resolving power; Polarisation; Double refraction; Nicol prism; Circular and elliptical polarised light; Optical activity; Fresnel theory of optical activity; Polarimeter"
BAS3102,2,Laser and Fibre Optics,"Spontaneous emission; Stimulated emission; Einstein coefficients; Population inversion; Pumping; Ruby laser; He-Ne laser; Applications of laser; Holography; Optical fibre basics; Propagation mechanism; Types of optical fibre; Acceptance angle; Numerical aperture; V number; Attenuation; Signal loss in optical fibre; Dispersion in optical fibre"
BAS3102,3,Special Theory of Relativity,"Inertial and non inertial frames; Concept of ether; Michelson Morley experiment; Einstein postulate of special relativity; Lorentz transformation; Length contraction; Time dilation; Mass variation; Relativistic velocity addition theorem; Mass energy equivalence"
BEE3101,1,Electrical Circuits,"Introduction to linear and nonlinear circuits; Circuit elements; Various sources and source transformations; Solution of DC circuits using Kirchhoff's laws; Mesh analysis; Nodal analysis; Thevenin theorem; Norton theorem; Maximum power transfer theorem; Tellegen's theorem; Applications to DC networks"
BEE3101,2,AC Circuits,"AC voltage and currents; Average and RMS values; Form factor and peak factor; Phasor representation of sinusoidal quantities; Phasor in polar rectangular and exponential forms; Analysis of single phase series parallel circuits; Active reactive and apparent power; Power factor improvement; Frequency response and Q factor; Balanced three phase AC circuits; Star delta connections; Measurement of power by two wattmeter method"
BEE3101,3,Measuring Instruments and Transformers,"Electrical measuring instruments; Types of instruments; Construction and working principles of PMMC; Construction and working principles of MI; Construction and working principles of single phase dynamometer ammeter; Construction and working principles of voltmeter; Construction and working principles of wattmeter; Induction type energy meter; Characteristics of magnetic materials; Practical magnetic circuits; Magnetic circuits with DC and AC excitation; Hysteresis and eddy current losses; Self and mutual inductances; Faraday's laws; Lenz's law; Sinusoidally varying magnetic field; Principle of transformer operation; EMF equation; Equivalent circuit; Losses and efficiency; Introduction to auto transformer and its applications"
BEE3101,4,Electrical Machines,"Basic concepts of rotating electrical machines; DC machines motor and generator working principle; Types of DC machines; EMF and torque equations; Characteristics and application of DC motor; Three phase induction motors types; Principle of operation of induction motors; Starting methods of induction motors; Applications of induction motors; Synchronous machines motor and generator principle of operation and applications"
BME3102,1,Fundamental Concepts and Definitions,"Definition of thermodynamics; Microscopic and macroscopic approaches; Systems surroundings and universe; Concept of continuum; Properties and state; Thermodynamic properties; Thermodynamic path process and cycle; Thermodynamic equilibrium; Reversibility and irreversibility; Quasi static process; Work and heat; Zeroth law of thermodynamics; Concept of temperature"
BME3102,2,First and Second Law of Thermodynamics,"Thermodynamic processes; Flow work; Joule's experiment; Internal energy and enthalpy; First law of thermodynamics applied to open systems; Steady flow systems and their analysis; Application of steady flow energy equation; Limitations of first law of thermodynamics; PMM-I; Statement of second law of thermodynamics; Heat engine; Heat pump and refrigerator; PMM-II; Efficiency of Carnot engine; Entropy; Clausius inequality; Definition of third law of thermodynamics"
BME3102,3,IC Engines Boilers and Condensers,"Classification of IC engines; Engine terminology; Compression ignition engines and spark ignition engines; Construction and working of two stroke and four stroke engines; Difference between SI and CI engines; Difference between two stroke and four stroke engines; Efficiency of Otto cycle; Efficiency of diesel cycle; Boilers and steam generators classifications; Working of fire tube boilers; Working of water tube boilers; Boiler mountings and accessories; Classification of condensers; Air leakage; Condenser performance parameters"
BAS3103,1,Introduction to General Chemistry,"Atomic structure; Chemical bonding; Significance of quantum numbers; Shapes of s p d f orbitals; Atomic orbitals; Rules for filling electrons in orbitals; Hybridization and its applications; Molecular orbital theory; Applications in homonuclear and heteronuclear diatomic molecules; Reaction kinetics; Rate equation; Order and molecularity of reaction; Theories of reaction rates; Integrated rate equations"
BAS3103,2,Stereochemistry,"Mechanistic concepts of stereochemistry; Concept of isomerism; Types of isomerism; Optical activity; Elements of symmetry; Molecular chirality; Optical isomerism; Chiral and achiral molecules with two stereogenic centers; Geometrical isomerism; Conformational isomerism; Conformational analysis of ethane and n butane; Introduction to green chemistry; Principles of green chemistry"
BAS3103,3,Analytical and Spectroscopic Techniques,"Titrimetric analysis; Standard solutions; Equivalents and normality; Indicators; Nuclear magnetic resonance; Magnetic nuclei with special reference to proton NMR; Shielding and deshielding; Ultraviolet spectroscopy; Types of transition; Chromophores and auxochromes; Water treatment and purification; Zeolite method; Water treatment for quality monitoring and management; Water surveillance; Water effluent treatment plants; Standards and regulatory norms"
BAS3103,4,Polymer Chemistry,"Introduction to polymer chemistry; Classification of polymers; Mechanism of addition polymerization; Thermoplastic and thermosetting resins; Molecular weight of polymers; Elastomers; Natural rubber; Buna S; Buna N; Butyl rubber; Synthetic fibers; Nylon 6; Nylon 6 6; Kevlar; Dacron; Organic conducting polymers; Polyaniline; Polythiophene; Polypyrrole"
BHS3101,1,Fundamentals of Communication,"Definition nature origin scope features and process of communication; Types of communication verbal and non verbal; Formal and informal communication; Oral and written communication; Levels of communication extra personal interpersonal organizational grapevine group and mass communication; Language as a tool of communication; Flow of communication vertical upward and downward lateral horizontal; Technical communication definition and distinction from general communication; Importance of technical communication for technical professionals; Barriers to communication definition and types; Physical semantic and psychological barriers; Extra personal intra personal interpersonal and organizational barriers; How to overcome communication barriers"
BHS3101,2,Creativity in Communication,"Word formation affixation; Compounding; Blending; Conversion; Enriching vocabulary synonyms antonyms homophones homonyms; One word substitution; Foreign words and phrases"
BHS3101,3,Forms of Writing and Technical Communication,"Revision interpreting paraphrasing and précis writing; Pre requisites of good sentences; Essentials of good sentences and common errors to be avoided; Sequence for logical arrangement writing unity coherence clarity; Methods of writing inductive deductive chronological spatial comparison and contrast; Business communication principles and seven C's of technical communication; Formats and types of business letters; Sales and credit letters; Inquiry quotation and reply letters; Letters for placing and fulfilling orders; Complaint claim and adjustment letters; Job letters cover letters and resume; Reports definition significance features and purpose; Types of reports informal periodic informational analytical; Formats and structures of reports letter format memo format printed format manuscript format; Proposal definition significance features and purpose; Types of proposals solicited unsolicited business research technical; Structure of technical proposals"
BHS3101,4,Presentation Strategies and Non Verbal Communication,"Group discussion concept and audience organization; Audio visual aids; Modes of presentation manuscript impromptu memorization extempore; Non verbal dimensions of communication kinesics gesture posture facial expression eye contact; Paralanguage proxemics haptics chronemics oculesics; Telephone etiquettes; Dining etiquettes; Interviews; Ice breaking"
BAS3201,1,Differential Equations,"Linear differential equations of nth order with constant coefficients; Complementary functions and particular integrals; Simultaneous linear differential equations; Solution of second order differential equation by changing dependent and independent variables; Method of variation of parameters; Applications to engineering problems"
BAS3201,2,Series Solution and Special Functions,"Series solution of ordinary differential equations of second order with variable coefficients Frobenius method; Bessel and Legendre equations and their series solutions; Properties of Bessel functions and Legendre polynomials"
BAS3201,3,Fourier Series,"Periodic functions; Trigonometric series; Fourier series of period 2π; Euler's formulae; Functions having arbitrary period; Change of interval; Even and odd functions; Half range sine and cosine series; Harmonic analysis"
BAS3201,4,Partial Differential Equations and Applications,"Homogeneous linear partial differential equations with constant coefficients; Non homogeneous linear partial differential equations with constant coefficients; Method of separation of variables; Wave equation up to two dimensions; Laplace equation up to two dimensions; Heat conduction equation up to two dimensions; Equations of transmission lines"
BME3101,1,Two Dimensional Force Systems,"Basic concepts; Laws of motion; Principle of transmissibility of forces; Transfer of a force to parallel position; Resultant of force system; Simple resultant of two dimensional concurrent force systems; Simple resultant of non concurrent force systems; Distributed force system; Free body diagrams; Equilibrium and equations of equilibrium; Applications of two dimensional force system"
BME3101,2,Friction,"Types of friction; Limiting friction; Laws of friction; Static and dynamic friction; Equilibrium of bodies involving dry friction; Belt friction; Application of friction"
BME3101,3,Beams and Trusses,"Introduction to beams; Shear force and bending moment; Differential equations for shear force and bending moment; Shear force and bending moment diagrams for statically determinate beams; Introduction to trusses; Simple truss and solution of simple truss; Method of sections; Method of joints; Determination of tension or compression in members; Zero force members"
BME3101,4,Centroid Kinematics and Stress Strain,"Centroid of plane curves area volume and composite bodies; Moment of inertia of plane area; Parallel axis theorem and perpendicular axis theorem; Linear motion; Instantaneous center; D'Alembert principle; Rotation of rigid bodies; Impulse and momentum principle; Work and energy principle; Definition of stress and strain; Normal and shear stresses; Stress strain relationship; Hooke's law; Poisson's ratio; Shear stress and shear strain; Modulus of rigidity; Temperature stresses; Strain energy"
BAS3202,1,Fundamentals of Quantum Mechanics,"Wave particle duality; De Broglie matter waves; Davisson Germer experiment; Phase velocity and group velocity; Uncertainty principle and applications; Wave function and its significance; Expectation value; Schrodinger wave equation and its significance; Particle in one dimensional box; Linear harmonic oscillator"
BAS3202,2,Crystal Structure X Ray Diffraction and Electromagnetism,"Space lattice; Basis; Unit cell; Lattice parameter; Seven crystal systems and fourteen Bravais lattices; Crystal system structure; Packing factor; Coordination number; Body centered cubic structure; Face centered cubic structure; Diamond structure; Reciprocal lattice; Diffraction of X rays by crystals; Laue experiment; Bragg's law; Bragg spectrometer; Displacement current; Equation of continuity; Maxwell's equations integral and differential forms; Poynting theorem; EM wave equation; Propagation characteristics in free space and conducting media; Skin depth"
BAS3202,3,Superconductivity and Nanotechnology,"Temperature dependence of resistivity in superconducting materials; Effect of magnetic field; Meissner effect; Temperature dependence of critical field; Type I and Type II superconductors; BCS theory qualitative; High temperature superconductors and applications; Basics of nanoscience and nanotechnology; Structure properties and uses of fullerene and carbon nanotubes; Synthesis of nanomaterials by chemical vapour deposition; Synthesis by pulse laser deposition; Characterization techniques XRD SEM AFM; Applications of nanotechnology"
BCS3101,1,Hardware and Software,"Hardware; Software; Information technology; Types of computers mainframe computer network computer personal computer laptop personal digital assistant; Personal computer components central processing unit hard disk; Common input output devices; Types of memory RAM ROM; Peripheral devices and computer performance; Input devices mouse keyboard trackball scanner touchpad light pen joystick digital camera microphone; Output devices monitors screens printers plotters speakers; Modems and touch screens; Storage devices diskette zip disk data cartridges CD ROM internal external hard disk; Disk formatting; Types of software operating systems and application software; Software versions; Operating system functions and types; Graphical user interface; SDLC and its phases"
BCS3101,2,Computer Networks,"Computer networks; LAN; WAN; Client server architecture; Sharing printers applications and files across a network; Intranet; Extranet; Internet and its uses; World wide web; Public switched telephone network; Integrated services digital network; Asymmetric digital subscriber line; Analog and digital modem; Data transfer rate"
BCS3101,3,Information Technology Applications,"Applications of IT in business administration systems; Airline booking systems; Insurance claims processing; Online banking; Uses of large scale computer applications in government; Public records systems; Census; Vehicle registration; Revenue collection; Electronic voting; Applications in education student registration and timetabling; Computer based training and distance learning; Electronic mail; E commerce and online purchasing; Payment methods; Advantages and disadvantages of online purchasing; Health safety and environment ergonomics; Recycling printed outputs; Recycling printer toner cartridges; Using efficient monitors"
BCS3101,4,Introduction to C Language,"Introduction to the C language and its advantages; C program structure writing building and executable version; Debugging and running C programs; Data types and variables; Operands and operators; Arithmetic expressions; Control statements; Use of while for and do while loops; Nesting loops; Break and continue statement"
BAS3104,1,Environment and Natural Resources,"Environment definition principles and scope of environmental studies; Structure and composition of atmosphere hydrosphere lithosphere and biosphere; Ecosystems structure and function; Types of ecosystem; Energy flow in ecosystem; Food chain and food web; Ecological pyramids; Predator prey interaction; Population dynamics of prey and predator; Material cycles carbon cycle nitrogen cycle energy cycle; Environmental impact assessment definition concept elements and methodology; Sustainable development; Natural resources renewable and non renewable; Drinking water quality and water borne diseases; Arsenic and fluoride problems in drinking water; Deforestation and impact of overexploitation of natural resources; Energy resources conventional and non conventional; Solar energy; Hydro power energy; Hydrogen energy; Wind energy; Geothermal energy; Biomass energy; Nuclear energy; Fossil fuels"
BAS3104,2,Environmental Pollution and Current Environmental Issues,"Environmental pollution definition pollutants sources causes effects and control measures of air water and soil pollution; Noise pollution sources measurement and standards; Impact of noise on human health; Noise control and abatement measures; Waste water treatment; Eutrophication and biomagnification; Solid waste management source characterization effects and control measures of urban and industrial solid waste; Population growth and logistic curve equation; Climate change and global warming; Acid rain; Ozone layer depletion; Water conservation and rainwater harvesting; Biodiversity and its conservation; Natural disaster management; Nuclear hazards; Environmental protection act; Air prevention and control of pollution act; Water prevention and control of pollution act; Role of NGOs in environment protection; Environmental education and awareness"
BEC3101,1,Diodes,"Energy band theory; Semiconductor material; Mass action law; PN junction forward and reverse bias characteristics; Diode rectifier half wave and full wave rectifiers; Breakdown mechanism zener and avalanche breakdown; Zener diode and its applications; LED; LCD; Solar cell"
BEC3101,2,Transistors,"Construction of bipolar junction transistor PNP and NPN; Working of transistor; BJT configurations CE CC CB; Input and output characteristics of CE and CC configuration; Biasing fixed bias emitter bias potential divider bias; Comparison of biasing circuits; JFET basic construction and characteristics; Concept of pinch off; Maximum drain saturation current; Input and transfer characteristics of JFET; Biasing of JFET self bias and voltage divider bias; MOSFET depletion and enhancement type; MOSFET construction operation and characteristics"
BEC3101,3,Digital Electronics and Communication Systems,"Number system and complements; Boolean algebra basic theorems and De Morgan theorems; Standard logic gates; Universal logic gates; Implementation of Boolean function using basic and universal gates; Reduction of Boolean function using K map up to four variables; Block diagram of communication system; Electromagnetic spectrum; Need for modulation; Basic definitions of AM FM PM"
BEC3101,4,Operational Amplifier and Applications,"Characteristics of ideal operational amplifier; Basic op amp practical op amp configurations open loop and closed loop; Applications of op amp non inverting amplifier voltage follower summing amplifier difference amplifier integrator differentiator; Principle of oscillator and Barkhausen criterion"
BCS3301,1,Set Theory Relations Functions and Natural Numbers,"Set theory introduction and combination of sets; Multisets; Ordered pairs; Proofs of general identities on sets; Relations definition and operations; Properties of relations; Composite relations; Equality of relations; Recursive definition of relation; Order of relations; Functions definition and classification; Operations on functions; Recursively defined functions; Growth of functions; Natural numbers and mathematical induction; Induction with nonzero base cases; Proof by counter example; Proof by contradiction"
BCS3301,2,Groups Rings Fields and Lattices,"Algebraic structures definition; Groups subgroups and order; Cyclic groups; Cosets; Lagrange's theorem; Normal subgroups; Rings and fields elementary properties; Integers modulo p; Partial order sets definition and combination; Hasse diagram; Lattices definition and properties; Bounded complemented modular complete lattice"
BCS3301,3,Boolean Algebra and Propositional Logic,"Boolean algebra introduction axioms and theorems; Manipulation of Boolean expressions; Simplification of Boolean functions; Karnaugh maps; Logic gates and digital circuits; Propositional logic and well formed formula; Truth tables; Tautology satisfiability contradiction; Algebra of proposition; Theory of inference; Predicate logic first order predicate well formed formula; Quantifiers; Inference theory of predicate logic"
BCS3301,4,Trees Graph Recurrence Relation and Combinatorics,"Trees definition; Binary tree; Binary search tree; Representation of trees; Graphs definition and terminology; Representation of graphs; Multigraphs; Bipartite graphs; Planar graphs; Isomorphism and homomorphism of graphs; Euler and Hamiltonian paths; Graph coloring; Recurrence relation; Generating function; Recursive definition of functions; Recursive algorithms; Method of solving recurrences; Combinatorics counting techniques; Pigeonhole principle"
BCS3302,1,Introduction to UML,"Introduction to UML; Model and importance of modelling; Principles of modelling; Object oriented modelling; Conceptual model of UML; Architecture and software development life cycle"
BCS3302,2,Structural and Basic Behavioral Modeling,"Classes and advanced classes; Relationships dependency generalization and realization association aggregation; Interfaces; Packages; Class and object diagrams; Interaction diagrams sequence diagram and collaboration diagram; Modeling techniques"
BCS3302,3,Advanced Behavioral and Architectural Modeling,"Use cases and use case diagrams; Use case and collaboration modeling techniques; Activity diagrams forking and joining swimlanes object flow; Architectural modeling events and signals; Processes and threads; State machines and state chart diagrams; Component diagrams; Deployment diagrams"
BCS3303,1,Binary Numbers and Gate Level Minimization,"Digital system and binary numbers; Signed binary numbers; Binary codes; Error detecting codes; Error correcting codes; Hamming codes; Floating point representation; Gate level minimization map method up to five variables; Don't care conditions; Karnaugh maps; POS simplification; NAND NOR implementation; Quine McClusky method"
BCS3303,2,Combinational Logic,"Combinational circuits analysis procedure; Design procedure; Binary adder and subtractor; Decimal adder; Binary multiplier; Magnitude comparator; Decoders; Encoders; Multiplexers"
BCS3303,3,Synchronous Sequential Logic,"Sequential circuits; Binary cell; Latches; SR flip flop; JK flip flop; Master slave JK flip flop; D flip flop; T flip flop; Synchronous sequential circuit design; Fundamentals of synchronous sequential circuits; Classification of synchronous machines; Analysis of synchronous sequential circuits; Design of synchronous and asynchronous counters; Shift registers; Ring counters; Analysis and design of finite state machines; Timing issues in synchronous circuits"
BCS3303,4,Asynchronous Sequential Logic,"Fundamentals of asynchronous sequential circuits; Analysis and design of asynchronous sequential circuits; Pulse mode and fundamental mode circuits; Cycles races and hazards in asynchronous circuits; Programmable logic devices PLA PAL CPLD FPGA architecture; Finite state machines Mealy Moore design"
BCS3305,1,Introduction to Programming Environment,"Concept of algorithm; Strategy for designing algorithms; Top down development and stepwise refinement; Flowchart; Programming languages assembler compiler interpreter; Systematic development of programs; Structured programming concept; Number system and conversion methods; Introduction to C language; Identifiers keywords constants and variables in C; Storage classes; Fundamental data types in C; Integer types short long long double; Character types; Single and double precision floating point"
BCS3305,2,Storage Classes Operators and Control Statements,"Storage classes in C automatic register static extern; Arithmetic operators; Relational operators; Logical operators; Assignment operators; Bitwise operators; Conditional increment and decrement operators; Special operators comma and sizeof; Type conversion in C; Operator precedence and associativity; Mixed mode operations; Standard input output functions printf scanf getchar putchar; Conditional and control statements if else switch nested if; Use of break and default statement; While do while and for loop iteration; Nesting of loops; Use of break and continue statements"
BCS3305,3,Arrays Structures and Unions,"Arrays one dimensional two dimensional and multidimensional; Array of unknown and varying size; Memory storage and initialization; Arrays manipulation; Strings declaration and initialization; String manipulation; Structures purpose and use; Declaring and assigning structures; Accessing structure members; Array of structures; Arrays within structures; Union utility; Union of structures; Function declaration definition and call; Passing values between functions; Global and local variables; Call by value and call by reference"
BCS3305,4,Pointers Preprocessors and File Handling,"Pointers declaration and initialization; Accessing the address of a variable; Pointer arithmetic; Pointers and arrays; Dynamic memory allocation; Stack and linked list using pointers; Recursion; Pointers to functions; Calling a function using a function pointer; Passing a function to another function; How to return a function pointer; Standard C library math functions; String handling functions; C preprocessor directives; Defining and calling macros; Conditional compilation; Passing values to the compiler; File handling in C types of files; Opening and closing of a file; Input output operations on files; Multiple file handling in C"
BHS3301,1,Introduction to Industrial Psychology and Individual in Workplace,"Introduction to industrial psychology; Definition and scope of industrial psychology; Applications of industrial psychology; Scientific management theory; Human relation approach and Hawthorne experiment; Motivation; Job satisfaction; Stress management; Organizational culture; Types of leaders and leadership styles; Group dynamics"
BHS3301,2,Industrial Environment and Engineering Psychology,"Work environment and engineering psychology; Industrial fatigue and industrial boredom; Industrial accidents and safety measures; Job analysis and its methods; Recruitment and selection process; Performance appraisal; 360 degree performance appraisal; Training and development"
BAS3301,1,Complex Analysis I,"Analytic function; Cauchy Riemann equations; Harmonic functions; Line integral in complex plane; Cauchy theorem without proof; Cauchy integral formula; Cauchy integral formula for derivatives of analytic functions; Morera's theorem without proof; Liouville's theorem; Fundamental theorem of algebra"
BAS3301,2,Complex Analysis II,"Representation of a function by power series; Taylor's series; Laurent's series; Singularities; Zeroes and poles; Residue theorem; Evaluation of real integrals; Introduction to conformal mapping"
BAS3301,3,Laplace Transform,"Laplace transform; Existence theorem; Laplace transform of derivatives and integrals; Inverse Laplace transform; Unit step function; Dirac delta function; Convolution theorem; Application to simple linear and simultaneous differential equations"
BAS3301,4,Fourier and Z Transforms,"Fourier integral; Fourier complex transform; Fourier sine and cosine transforms; Z transform and applications"
BHS3402,1,Concept of Industrial Sociology,"Industrial sociology meaning nature and scope; Industrial and post industrial society; Industrialization in India causes and consequences; Industrial disputes causes and preventions; Understanding others attributions; Types of bargaining and collective bargaining; Personnel management and human resource management; Social change in India westernization modernization globalization; Sociology of modern organizations; Modern business organization ownership and control"
BHS3402,2,Socio Cultural Issues in Indian Industries,"Grievances and handling procedures; Strikes and lockouts; Models of industrialization collectivist anarchist free market environmentalist; Cultural issues; Consumer society; Sociological concerns"
BAS3401,1,Statistical Method and Inference,"Correlation; Regression; Statistical quality control R p np and c charts; Introduction to normal distribution; Testing of hypothesis small sample tests t test chi square test; Large sample tests z test; Analysis of variance"
BAS3401,2,Numerical Method I,"Errors and their computation; General error formula; Error in a series approximation; Solution of algebraic and transcendental equations using bisection method; Regula falsi method; Newton Raphson method; Rate of convergence; Solution of system of linear algebraic equations by Gauss elimination; Gauss Jordan method; Jacobi method; Gauss Seidel method; Crout method"
BAS3401,3,Numerical Method II,"Interpolation; Finite differences; Difference tables; Newton forward and backward interpolation; Lagrange and Newton divided difference formula for unequal intervals; Numerical differentiation; Numerical integration Newton Cotes formula; Trapezoidal rule; Simpson one third rule; Simpson three eighth rule; Numerical solution to ordinary differential equations first order by Euler method; Picard method; Fourth order Runge Kutta method"
BCS3401,1,Database System Concepts Users and Architecture,"Introduction to database system with examples; Characteristics of database approach; Users of database system; Advantages and disadvantages of using a DBMS; Data models schemas and instances; DBMS architecture and data independence; Database languages and interfaces; Components of database system; Classification of database management systems"
BCS3401,2,Data Modeling and Relational Database Management System,"Data modelling using entity relationship model; Concepts and notation for ER diagram; Mapping constraints; Keys super key candidate key primary key; Entity types entity sets attributes relationships and structural constraints; Strong and weak entity types; ER diagrams naming conventions and design issues; Enhanced ER modelling subclasses super classes inheritance specialization and generalization; Constraints and characteristics of specialization and generalization; Modelling union types using categories; Relational data model relational constraints relational algebra; Relational concepts relational constraints and relational database schemas; Update operations and dealing with constraint violations; Basic relational algebra operations; Additional relational algebra operations; Examples of queries in relational algebra"
BCS3401,3,SQL and Database Design Theory and Methodology,"Structured query language relational database standard; Data definition constraints and schema changes in SQL; Types of SQL commands; SQL operators and their procedure; Insert delete update statements in SQL; Queries and sub queries; Aggregate functions; Joins unions intersection minus; Views and virtual tables in SQL; Cursors triggers and PL SQL; Functional dependencies and normalization for relational databases; Informal design guidelines for relation schemas; Normal forms based on primary keys; Second normal form; Third normal form; Boyce Codd normal form; Multivalued dependencies and fourth normal form; Join dependencies and fifth normal form"
BCS3401,4,Transaction Processing Concurrency Control and Database Recovery,"Transaction processing concepts; Transaction states and state diagram; Desirable properties of transactions; Schedules and recoverability; Serializability of schedules; Locking techniques for concurrency control; Concurrency control based on timestamp ordering; Multiversion concurrency control techniques; Validation and optimistic concurrency control techniques; Granularity of data items and multiple granularity locking; Database recovery concepts; Recovery techniques based on deferred update; Recovery techniques based on immediate update; Shadow paging; ARIES recovery algorithm; Database backup and recovery from catastrophic failures; Client server database environment; Internet database environment; Data warehousing introduction"
BCS3402,1,Introduction to Operating System and Process Concept,"Operating system and functions; Classification of operating systems; Operating system structure; Operating system services; System calls and system programs; Process concept; Process state; Process control block; Context switching; Operation on processes; Threads and their management; Benefits of multithreading; Types of threads; Threading issues; CPU scheduling criteria; Scheduling algorithms; Concurrent processes; Inter process communication models and schemes"
BCS3402,2,Process Synchronization and Deadlock,"Process synchronization; Producer consumer problem; Critical section problem; Peterson's solution; Synchronization hardware; Semaphores; Classical problems of synchronization; Deadlock characterization; Deadlock prevention; Deadlock avoidance; Resource allocation graph algorithm; Banker's algorithm; Deadlock detection; Recovery from deadlock"
BCS3402,3,Memory Management,"Memory management basic bare machine; Resident monitor; Multiprogramming with fixed partition; Multiprogramming with variable partitions; Paging; Segmentation; Paged segmentation; Virtual memory concepts; Demand paging; Performance of demand paging; Page replacement algorithms; Thrashing"
BCS3402,4,IO Management and File System,"File system structure; File system implementation; Directory implementation and allocation methods; Free space management; Kernel IO subsystems; Disk structure; Disk scheduling; Disk management; Swap space management"
BCS3403,1,Introduction and Arrays,"Basic terminology; Data types and classification; Algorithm complexity notations big O and time space trade off; Abstract data types; Arrays definition representation and analysis; Single and multidimensional arrays; Address calculation; Sparse matrices; Recursion definition and processes; Simulating recursion; Backtracking; Recursive algorithms; Tail recursion; Removal of recursion; Tower of Hanoi"
